accident_id,date,time,weekday,city,area_type,vehicle_type,road_condition,light_condition,vehicles_involved,severity,latitude,longitude
53,2024-01-03,03:49,Wednesday,Chennai,Urban,Bike,Damaged,Night,4,Serious,13.037722,80.24562
54,2024-03-03,14:08,Sunday,Chennai,Highway,Truck,Wet,Day,4,Fatal,13.115757,80.275487
55,2024-03-22,23:55,Friday,Chennai,Rural,Truck,Dry,Night,3,Serious,13.109281,80.27283
56,2024-11-16,07:17,Saturday,Chennai,Urban,Truck,Dry,Day,3,Minor,13.066285,80.310003
57,2024-02-11,04:09,Sunday,Mumbai,Rural,Bike,Damaged,Night,2,Serious,19.032423,72.86846
58,2024-10-04,14:26,Friday,Bangalore,Urban,Bus,Wet,Day,1,Minor,13.007273,77.621159
59,2024-07-13,15:00,Saturday,Delhi,Rural,Bus,Wet,Day,2,Minor,28.702923,77.079794
60,2024-09-05,00:24,Thursday,Delhi,Highway,Bus,Damaged,Night,2,Fatal,28.738151,77.144454
61,2024-11-14,17:01,Thursday,Chennai,Highway,Car,Dry,Day,4,Minor,13.04627,80.26687
62,2024-01-26,08:24,Friday,Delhi,Urban,Bus,Wet,Day,3,Minor,28.730223,77.090413
63,2024-08-03,08:53,Saturday,Bangalore,Rural,Car,Damaged,Day,1,Minor,13.021591,77.579596
64,2024-11-28,02:49,Thursday,Bangalore,Urban,Bike,Dry,Night,1,Serious,12.983734,77.568454
65,2024-08-30,21:07,Friday,Mumbai,Rural,Truck,Wet,Night,2,Fatal,19.086589,72.924073
66,2024-02-28,05:19,Wednesday,Bangalore,Highway,Car,Wet,Night,4,Fatal,12.961265,77.616101
67,2024-02-08,18:44,Thursday,Mumbai,Urban,Truck,Damaged,Day,1,Minor,19.105623,72.884293
68,2024-01-22,11:34,Monday,Chennai,Highway,Truck,Dry,Day,3,Serious,13.033965,80.262706
69,2024-09-07,03:27,Saturday,Delhi,Highway,Bus,Damaged,Night,2,Fatal,28.697649,77.12588
70,2024-11-29,08:39,Friday,Chennai,Rural,Bus,Damaged,Day,3,Minor,13.06493,80.24525
71,2024-02-14,08:56,Wednesday,Chennai,Urban,Bus,Damaged,Day,4,Minor,13.06634,80.270131
72,2024-06-15,05:31,Saturday,Mumbai,Rural,Truck,Wet,Night,3,Fatal,19.114032,72.897818
73,2024-05-21,17:00,Tuesday,Mumbai,Urban,Bike,Damaged,Day,4,Minor,19.074858,72.903516
74,2024-12-19,15:41,Thursday,Chennai,Rural,Car,Dry,Day,3,Minor,13.05486,80.289879
75,2024-06-05,21:37,Wednesday,Delhi,Rural,Truck,Wet,Night,3,Fatal,28.689281,77.097875
76,2024-06-05,08:14,Wednesday,Bangalore,Highway,Bike,Wet,Day,1,Fatal,12.995888,77.639688
77,2024-12-19,05:12,Thursday,Mumbai,Highway,Bus,Wet,Night,3,Fatal,19.124051,72.910963
78,2024-05-31,07:23,Friday,Mumbai,Rural,Car,Damaged,Day,2,Minor,19.053431,72.925129
79,2024-10-10,09:44,Thursday,Mumbai,Highway,Bus,Dry,Day,1,Minor,19.083406,72.87464
80,2024-08-13,10:11,Tuesday,Bangalore,Rural,Bus,Dry,Day,1,Minor,12.961671,77.552008
81,2024-11-18,21:03,Monday,Mumbai,Urban,Truck,Dry,Night,2,Serious,19.037845,72.904144
82,2024-11-06,19:50,Wednesday,Mumbai,Highway,Bus,Wet,Night,4,Fatal,19.055735,72.886553
83,2024-08-07,09:36,Wednesday,Bangalore,Highway,Car,Dry,Day,2,Minor,12.948065,77.552719
84,2024-05-02,05:35,Thursday,Bangalore,Urban,Car,Wet,Night,4,Serious,12.990537,77.591591
85,2024-01-17,07:18,Wednesday,Delhi,Highway,Bus,Dry,Day,2,Minor,28.746491,77.131283
86,2024-11-16,18:42,Saturday,Mumbai,Rural,Car,Damaged,Day,2,Minor,19.090763,72.918541
87,2024-03-13,02:03,Wednesday,Mumbai,Rural,Truck,Wet,Night,1,Fatal,19.07287,72.858109
88,2024-07-25,08:32,Thursday,Chennai,Rural,Car,Damaged,Day,1,Minor,13.121642,80.294153
89,2024-11-05,08:01,Tuesday,Bangalore,Urban,Car,Damaged,Day,3,Minor,12.979225,77.620911
90,2024-03-30,15:33,Saturday,Chennai,Rural,Bike,Damaged,Day,4,Minor,13.096178,80.269873
91,2024-02-16,15:22,Friday,Chennai,Rural,Truck,Damaged,Day,1,Minor,13.118473,80.25368
92,2024-12-21,15:18,Saturday,Chennai,Highway,Car,Wet,Day,1,Serious,13.064152,80.253027
93,2024-07-25,16:52,Thursday,Bangalore,Highway,Bus,Wet,Day,1,Serious,12.940358,77.580778
94,2024-09-12,20:28,Thursday,Bangalore,Urban,Truck,Damaged,Night,2,Serious,13.014367,77.588412
95,2024-12-23,15:07,Monday,Bangalore,Highway,Bike,Damaged,Day,2,Serious,12.952675,77.545967
96,2024-07-27,02:14,Saturday,Bangalore,Rural,Car,Damaged,Night,2,Serious,12.971438,77.61626
97,2024-09-17,22:17,Tuesday,Chennai,Rural,Bus,Dry,Night,4,Minor,13.087827,80.259059
98,2024-11-02,16:47,Saturday,Mumbai,Urban,Truck,Wet,Day,3,Serious,19.119425,72.878474
99,2024-01-02,09:46,Tuesday,Delhi,Highway,Bus,Dry,Day,4,Minor,28.707958,77.087012
100,2024-10-09,17:24,Wednesday,Chennai,Rural,Bike,Damaged,Day,2,Minor,13.08988,80.244056
101,2024-07-29,01:20,Monday,Chennai,Highway,Bus,Wet,Night,2,Fatal,13.082233,80.224402
102,2024-09-14,18:21,Saturday,Bangalore,Rural,Car,Damaged,Day,4,Minor,12.923135,77.559016
103,2024-12-01,04:04,Sunday,Chennai,Rural,Truck,Damaged,Night,4,Serious,13.097684,80.305877
104,2024-12-11,17:24,Wednesday,Delhi,Highway,Bus,Damaged,Day,1,Serious,28.715846,77.075977
105,2024-12-16,09:14,Monday,Bangalore,Rural,Car,Damaged,Day,1,Minor,12.965968,77.614
106,2024-01-15,01:20,Monday,Bangalore,Rural,Truck,Wet,Night,4,Fatal,12.936157,77.597717
107,2024-10-16,21:50,Wednesday,Mumbai,Urban,Bike,Dry,Night,4,Serious,19.087971,72.851783
108,2024-10-25,04:14,Friday,Chennai,Highway,Truck,Wet,Night,3,Fatal,13.099384,80.310591
109,2024-08-26,09:43,Monday,Mumbai,Urban,Bus,Wet,Day,3,Minor,19.089894,72.870131
110,2024-05-08,14:54,Wednesday,Delhi,Urban,Bus,Wet,Day,1,Minor,28.677821,77.109692
111,2024-10-21,09:44,Monday,Delhi,Urban,Bus,Wet,Day,1,Minor,28.710693,77.12108
112,2024-01-26,19:47,Friday,Chennai,Rural,Bike,Damaged,Night,3,Serious,13.0546,80.239713
113,2024-05-08,21:48,Wednesday,Mumbai,Highway,Car,Damaged,Night,1,Fatal,19.056893,72.871782
114,2024-10-23,11:46,Wednesday,Mumbai,Urban,Truck,Wet,Day,4,Serious,19.043564,72.840916
115,2024-10-03,11:33,Thursday,Delhi,Urban,Truck,Wet,Day,3,Serious,28.728756,77.086372
116,2024-02-28,14:04,Wednesday,Mumbai,Urban,Bus,Damaged,Day,3,Minor,19.03503,72.867157
117,2024-05-15,17:07,Wednesday,Chennai,Rural,Truck,Damaged,Day,4,Minor,13.114942,80.314729
118,2024-02-25,21:14,Sunday,Chennai,Urban,Truck,Damaged,Night,2,Serious,13.097465,80.28424
119,2024-08-25,22:19,Sunday,Chennai,Urban,Bike,Dry,Night,1,Serious,13.063136,80.269962
120,2024-02-19,07:56,Monday,Mumbai,Rural,Bus,Wet,Day,4,Minor,19.084734,72.90036
121,2024-07-31,20:06,Wednesday,Chennai,Highway,Bus,Wet,Night,1,Fatal,13.101728,80.242427
122,2024-08-15,07:54,Thursday,Delhi,Urban,Truck,Damaged,Day,3,Minor,28.660155,77.080088
123,2024-03-03,14:05,Sunday,Mumbai,Highway,Car,Dry,Day,3,Minor,19.050357,72.840292
124,2024-10-16,06:04,Wednesday,Mumbai,Highway,Bike,Dry,Day,3,Serious,19.103437,72.906564
125,2024-11-01,00:17,Friday,Mumbai,Urban,Truck,Dry,Night,1,Serious,19.092106,72.830278
126,2024-01-08,11:50,Monday,Mumbai,Highway,Truck,Dry,Day,2,Serious,19.052537,72.840376
127,2024-08-03,16:07,Saturday,Bangalore,Rural,Bus,Wet,Day,1,Minor,12.966801,77.566755
128,2024-11-10,01:46,Sunday,Delhi,Rural,Car,Dry,Night,4,Minor,28.73883,77.095127
129,2024-02-25,15:45,Sunday,Chennai,Urban,Car,Wet,Day,2,Minor,13.039268,80.248202
130,2024-11-20,18:35,Wednesday,Delhi,Rural,Truck,Wet,Day,4,Serious,28.664018,77.122678
131,2024-12-01,20:56,Sunday,Mumbai,Rural,Bus,Dry,Night,4,Minor,19.059893,72.87305
132,2024-07-31,23:06,Wednesday,Delhi,Rural,Truck,Damaged,Night,3,Serious,28.69153,77.067764
133,2024-08-30,02:05,Friday,Bangalore,Urban,Bus,Dry,Night,3,Minor,13.002777,77.600237
134,2024-10-27,17:35,Sunday,Delhi,Highway,Car,Wet,Day,3,Serious,28.741461,77.146613
135,2024-08-04,23:03,Sunday,Delhi,Highway,Truck,Wet,Night,1,Fatal,28.711892,77.073774
136,2024-12-02,15:14,Monday,Bangalore,Rural,Truck,Dry,Day,3,Minor,12.97901,77.625322
137,2024-10-14,19:39,Monday,Bangalore,Highway,Truck,Dry,Night,2,Fatal,12.948927,77.620841
138,2024-06-22,11:00,Saturday,Mumbai,Urban,Bus,Dry,Day,2,Minor,19.100097,72.924881
139,2024-02-16,23:33,Friday,Mumbai,Rural,Bus,Wet,Night,3,Serious,19.041741,72.858864
140,2024-06-15,18:38,Saturday,Bangalore,Urban,Bike,Dry,Day,1,Minor,12.988997,77.57181
141,2024-12-04,13:31,Wednesday,Chennai,Rural,Truck,Dry,Day,1,Minor,13.067217,80.231789
142,2024-12-13,21:37,Friday,Chennai,Highway,Truck,Dry,Night,2,Fatal,13.072226,80.280632
143,2024-01-04,06:19,Thursday,Mumbai,Urban,Truck,Wet,Day,3,Serious,19.037998,72.877439
144,2024-08-08,05:08,Thursday,Chennai,Highway,Bike,Damaged,Night,3,Fatal,13.039908,80.306876
145,2024-01-22,13:01,Monday,Chennai,Urban,Truck,Damaged,Day,4,Minor,13.09004,80.29165
146,2024-08-01,09:07,Thursday,Chennai,Urban,Truck,Dry,Day,4,Minor,13.115903,80.312677
147,2024-02-15,13:54,Thursday,Bangalore,Urban,Bus,Damaged,Day,4,Minor,12.973996,77.584177
148,2024-06-07,23:21,Friday,Mumbai,Rural,Bike,Dry,Night,1,Serious,19.07906,72.84709
149,2024-06-27,11:46,Thursday,Mumbai,Urban,Car,Dry,Day,3,Minor,19.045727,72.88794
150,2024-12-01,02:11,Sunday,Chennai,Rural,Bus,Damaged,Night,3,Serious,13.119125,80.283422
151,2024-03-18,14:04,Monday,Chennai,Rural,Truck,Wet,Day,1,Serious,13.067894,80.228119
152,2024-08-24,14:02,Saturday,Bangalore,Rural,Truck,Dry,Day,1,Minor,12.983101,77.595307
153,2024-08-24,18:35,Saturday,Bangalore,Rural,Bike,Wet,Day,4,Serious,12.971737,77.640372
154,2024-08-18,03:51,Sunday,Delhi,Highway,Car,Damaged,Night,2,Fatal,28.658014,77.123262
155,2024-08-12,16:33,Monday,Mumbai,Rural,Truck,Wet,Day,4,Serious,19.066877,72.861537
156,2024-11-02,01:50,Saturday,Delhi,Urban,Truck,Dry,Night,4,Serious,28.682515,77.124873
157,2024-12-02,19:55,Monday,Mumbai,Rural,Car,Damaged,Night,2,Serious,19.117675,72.858723
158,2024-12-01,22:42,Sunday,Chennai,Urban,Car,Wet,Night,4,Serious,13.097049,80.253548
159,2024-03-06,21:44,Wednesday,Bangalore,Highway,Bus,Damaged,Night,3,Fatal,12.923423,77.575487
160,2024-04-19,10:49,Friday,Chennai,Urban,Bike,Dry,Day,2,Minor,13.040417,80.305143
161,2024-02-21,16:49,Wednesday,Bangalore,Highway,Truck,Damaged,Day,2,Serious,12.981325,77.560025
162,2024-04-02,22:49,Tuesday,Mumbai,Highway,Bus,Dry,Night,4,Serious,19.06243,72.899659
163,2024-08-15,19:18,Thursday,Chennai,Urban,Bike,Wet,Night,4,Fatal,13.123097,80.240102
164,2024-12-13,18:28,Friday,Chennai,Rural,Bus,Damaged,Day,4,Minor,13.129327,80.302389
165,2024-11-05,04:55,Tuesday,Delhi,Urban,Bus,Wet,Night,1,Serious,28.72524,77.104091
166,2024-03-04,09:05,Monday,Mumbai,Rural,Bus,Damaged,Day,2,Minor,19.109105,72.836871
167,2024-04-23,14:56,Tuesday,Delhi,Urban,Bus,Dry,Day,4,Minor,28.704301,77.076078
168,2024-02-11,11:14,Sunday,Bangalore,Rural,Car,Damaged,Day,3,Minor,13.000738,77.55836
169,2024-05-26,15:44,Sunday,Mumbai,Highway,Bus,Wet,Day,1,Serious,19.116586,72.8296
170,2024-04-20,04:35,Saturday,Chennai,Urban,Truck,Dry,Night,3,Serious,13.044885,80.244544
171,2024-11-23,19:29,Saturday,Bangalore,Urban,Bus,Damaged,Night,1,Serious,12.984795,77.602105
172,2024-03-14,09:27,Thursday,Bangalore,Highway,Truck,Dry,Day,4,Serious,12.940331,77.611421
173,2024-09-25,11:04,Wednesday,Bangalore,Rural,Bus,Dry,Day,4,Minor,13.019704,77.569965
174,2024-01-09,11:50,Tuesday,Bangalore,Rural,Bike,Damaged,Day,1,Minor,12.99875,77.618119
175,2024-06-19,04:02,Wednesday,Delhi,Highway,Truck,Damaged,Night,2,Fatal,28.737138,77.120968
176,2024-12-22,15:40,Sunday,Mumbai,Urban,Car,Damaged,Day,4,Minor,19.029698,72.847859
177,2024-04-12,01:20,Friday,Delhi,Highway,Bus,Damaged,Night,4,Fatal,28.679431,77.127829
178,2024-04-07,09:22,Sunday,Bangalore,Highway,Truck,Wet,Day,1,Fatal,13.001534,77.588295
179,2024-07-23,23:28,Tuesday,Chennai,Rural,Bike,Wet,Night,4,Fatal,13.069435,80.300429
180,2024-05-16,02:46,Thursday,Chennai,Urban,Bus,Damaged,Night,2,Serious,13.087247,80.252821
181,2024-02-10,10:42,Saturday,Delhi,Rural,Bus,Damaged,Day,4,Minor,28.670764,77.096891
182,2024-08-16,01:46,Friday,Delhi,Highway,Bus,Wet,Night,1,Fatal,28.661604,77.116251
183,2024-07-05,16:51,Friday,Mumbai,Urban,Bike,Damaged,Day,4,Minor,19.02948,72.834423
184,2024-11-26,11:23,Tuesday,Chennai,Highway,Car,Damaged,Day,2,Serious,13.100606,80.315582
185,2024-07-09,14:48,Tuesday,Bangalore,Highway,Bike,Damaged,Day,3,Serious,12.961403,77.609556
186,2024-05-07,03:01,Tuesday,Mumbai,Rural,Bus,Damaged,Night,1,Serious,19.052178,72.853729
187,2024-08-16,06:39,Friday,Delhi,Highway,Bus,Dry,Day,1,Minor,28.667673,77.059905
188,2024-03-29,22:28,Friday,Bangalore,Highway,Truck,Damaged,Night,3,Fatal,12.992554,77.5996
189,2024-05-28,09:54,Tuesday,Mumbai,Highway,Bike,Wet,Day,2,Fatal,19.038136,72.847798
190,2024-03-12,07:50,Tuesday,Chennai,Urban,Truck,Damaged,Day,3,Minor,13.079441,80.319001
191,2024-03-07,19:56,Thursday,Bangalore,Urban,Truck,Wet,Night,4,Fatal,12.97417,77.621516
192,2024-10-21,02:08,Monday,Delhi,Highway,Car,Wet,Night,4,Fatal,28.722111,77.086951
193,2024-10-09,20:37,Wednesday,Mumbai,Urban,Bus,Damaged,Night,1,Serious,19.109139,72.87951
194,2024-06-04,05:10,Tuesday,Delhi,Highway,Bike,Wet,Night,3,Fatal,28.738693,77.077561
195,2024-11-21,17:17,Thursday,Mumbai,Highway,Truck,Damaged,Day,1,Serious,19.076257,72.844564
196,2024-10-24,04:10,Thursday,Delhi,Highway,Car,Dry,Night,1,Serious,28.658646,77.116645
197,2024-10-22,08:41,Tuesday,Mumbai,Highway,Bus,Damaged,Day,1,Serious,19.075804,72.890416
198,2024-05-28,20:19,Tuesday,Chennai,Urban,Bus,Wet,Night,4,Serious,13.039997,80.226691
199,2024-08-13,13:30,Tuesday,Chennai,Urban,Truck,Damaged,Day,2,Minor,13.063958,80.292536
200,2024-06-25,12:08,Tuesday,Delhi,Highway,Car,Wet,Day,2,Serious,28.700747,77.079247
201,2024-05-06,04:06,Monday,Bangalore,Rural,Bus,Damaged,Night,4,Serious,12.946427,77.631131
202,2024-03-22,10:59,Friday,Delhi,Urban,Bike,Wet,Day,4,Serious,28.703976,77.083354
203,2024-01-12,02:25,Friday,Chennai,Urban,Bike,Damaged,Night,3,Serious,13.037566,80.248836
204,2024-11-01,20:43,Friday,Chennai,Rural,Car,Dry,Night,4,Minor,13.046093,80.247147
205,2024-07-06,12:23,Saturday,Bangalore,Rural,Car,Damaged,Day,2,Minor,12.957852,77.57346
206,2024-07-16,16:28,Tuesday,Delhi,Highway,Car,Dry,Day,1,Minor,28.69349,77.13199
207,2024-06-22,17:23,Saturday,Mumbai,Urban,Bus,Damaged,Day,1,Minor,19.03053,72.841404
208,2024-06-19,15:33,Wednesday,Chennai,Urban,Bike,Wet,Day,3,Serious,13.04895,80.319762
209,2024-06-02,18:21,Sunday,Chennai,Highway,Truck,Wet,Day,1,Fatal,13.069536,80.288081
210,2024-08-01,18:19,Thursday,Bangalore,Highway,Bus,Wet,Day,2,Serious,12.99374,77.602952
211,2024-03-28,16:40,Thursday,Chennai,Urban,Bike,Dry,Day,1,Minor,13.051778,80.264804
212,2024-08-02,04:26,Friday,Mumbai,Rural,Bus,Damaged,Night,1,Serious,19.096578,72.879568
213,2024-10-14,10:42,Monday,Chennai,Highway,Bus,Wet,Day,2,Serious,13.078666,80.274013
214,2024-10-06,11:43,Sunday,Delhi,Highway,Bus,Dry,Day,2,Minor,28.682001,77.08235
215,2024-06-01,09:45,Saturday,Mumbai,Highway,Bus,Wet,Day,4,Serious,19.06088,72.92107
216,2024-05-20,09:07,Monday,Chennai,Rural,Truck,Dry,Day,3,Minor,13.036907,80.316231
217,2024-02-10,11:59,Saturday,Chennai,Highway,Truck,Damaged,Day,4,Serious,13.054099,80.303495
218,2024-05-18,17:44,Saturday,Delhi,Urban,Car,Damaged,Day,2,Minor,28.678346,77.119483
219,2024-09-28,07:40,Saturday,Mumbai,Urban,Car,Wet,Day,3,Minor,19.097736,72.837754
220,2024-03-11,00:35,Monday,Mumbai,Rural,Bus,Wet,Night,2,Serious,19.101591,72.856425
221,2024-05-26,20:03,Sunday,Bangalore,Highway,Bike,Damaged,Night,1,Fatal,13.012923,77.562106
222,2024-03-31,01:53,Sunday,Chennai,Rural,Bike,Damaged,Night,3,Serious,13.120374,80.221627
223,2024-10-17,19:06,Thursday,Delhi,Rural,Bus,Damaged,Night,4,Serious,28.743026,77.06592
224,2024-09-15,14:17,Sunday,Mumbai,Urban,Truck,Dry,Day,4,Minor,19.090829,72.89956
225,2024-01-08,23:21,Monday,Delhi,Highway,Bike,Dry,Night,4,Fatal,28.736799,77.104028
226,2024-02-14,12:42,Wednesday,Bangalore,Urban,Bike,Wet,Day,3,Serious,13.015183,77.545283
227,2024-07-15,07:28,Monday,Delhi,Rural,Truck,Damaged,Day,1,Minor,28.680255,77.088455
228,2024-04-30,01:42,Tuesday,Bangalore,Rural,Truck,Dry,Night,4,Serious,12.990207,77.636911
229,2024-12-26,09:44,Thursday,Bangalore,Highway,Truck,Wet,Day,2,Fatal,12.943513,77.557957
230,2024-03-19,14:47,Tuesday,Delhi,Rural,Bus,Damaged,Day,2,Minor,28.730286,77.120534
231,2024-11-01,02:33,Friday,Chennai,Highway,Truck,Dry,Night,1,Fatal,13.038876,80.275465
232,2024-09-15,06:36,Sunday,Mumbai,Urban,Truck,Damaged,Day,4,Minor,19.037624,72.84824
233,2024-10-25,15:05,Friday,Chennai,Urban,Bus,Dry,Day,4,Minor,13.07838,80.226474
234,2024-08-24,21:51,Saturday,Delhi,Highway,Car,Wet,Night,3,Fatal,28.735745,77.12708
235,2024-10-23,02:02,Wednesday,Chennai,Rural,Car,Damaged,Night,1,Serious,13.126158,80.227602
236,2024-08-29,01:18,Thursday,Chennai,Urban,Bike,Damaged,Night,4,Serious,13.070146,80.309833
237,2024-08-17,12:24,Saturday,Bangalore,Highway,Bike,Damaged,Day,3,Serious,12.933463,77.643885
238,2024-07-20,16:08,Saturday,Mumbai,Urban,Car,Wet,Day,4,Minor,19.09335,72.882145
239,2024-09-29,12:52,Sunday,Mumbai,Urban,Bus,Wet,Day,2,Minor,19.053565,72.921441
240,2024-02-27,01:51,Tuesday,Chennai,Highway,Car,Dry,Night,2,Serious,13.039429,80.280094
241,2024-08-16,19:43,Friday,Bangalore,Urban,Car,Wet,Night,4,Serious,12.945034,77.566327
242,2024-01-29,04:32,Monday,Delhi,Urban,Truck,Damaged,Night,3,Serious,28.67779,77.140126
243,2024-12-04,16:14,Wednesday,Chennai,Rural,Truck,Dry,Day,2,Minor,13.095299,80.26342
244,2024-09-10,01:22,Tuesday,Chennai,Highway,Truck,Damaged,Night,4,Fatal,13.073526,80.250689
245,2024-04-04,17:30,Thursday,Mumbai,Urban,Truck,Damaged,Day,2,Minor,19.106578,72.919174
246,2024-10-14,13:26,Monday,Mumbai,Rural,Bike,Wet,Day,2,Serious,19.059026,72.835607
247,2024-08-18,11:05,Sunday,Mumbai,Urban,Truck,Wet,Day,1,Serious,19.113362,72.846516
248,2024-10-27,23:42,Sunday,Mumbai,Rural,Bike,Wet,Night,3,Fatal,19.121702,72.829233
249,2024-04-07,23:07,Sunday,Chennai,Urban,Bike,Wet,Night,2,Fatal,13.087908,80.298251
250,2024-07-13,14:34,Saturday,Delhi,Rural,Truck,Wet,Day,4,Serious,28.7007,77.132782
251,2024-08-28,10:58,Wednesday,Mumbai,Rural,Truck,Wet,Day,1,Serious,19.082252,72.849827
