accident_id,date,time,city,area_type,vehicle_type,road_condition,light_condition,vehicles_involved,severity,latitude,longitude
79,2024-01-31,10:13,Bangalore,Rural,Car,Dry,Day,3,Minor,12.964535,77.601114
80,2024-05-24,23:00,Mumbai,Highway,Car,Dry,Night,2,Serious,19.083281,72.837075
81,2024-11-16,17:12,Bangalore,Highway,Bike,Dry,Day,2,Serious,12.927921,77.641782
82,2024-03-28,22:28,Mumbai,Urban,Bus,Damaged,Night,1,Serious,19.091265,72.882176
83,2024-04-11,04:02,Delhi,Rural,Car,Dry,Night,3,Minor,28.718552,77.093774
84,2024-07-27,12:00,Bangalore,Urban,Car,Dry,Day,4,Minor,13.009741,77.617618
85,2024-04-18,12:35,Mumbai,Rural,Bike,Dry,Day,4,Minor,19.082825,72.873686
86,2024-10-01,16:03,Chennai,Urban,Truck,Dry,Day,2,Minor,13.08761,80.308556
87,2024-01-24,21:04,Bangalore,Rural,Bus,Damaged,Night,4,Serious,13.005553,77.551612
88,2024-03-17,13:12,Chennai,Urban,Truck,Dry,Day,1,Minor,13.088569,80.231519
89,2024-08-11,23:02,Bangalore,Rural,Car,Wet,Night,1,Serious,13.002283,77.552586
90,2024-07-07,02:38,Chennai,Urban,Car,Damaged,Night,4,Serious,13.085562,80.253987
91,2024-03-05,11:24,Chennai,Rural,Truck,Dry,Day,1,Minor,13.110866,80.280537
92,2024-06-09,16:03,Bangalore,Rural,Car,Damaged,Day,3,Minor,12.926797,77.566301
93,2024-05-15,03:54,Bangalore,Highway,Car,Damaged,Night,2,Fatal,13.018334,77.553592
94,2024-12-09,04:02,Chennai,Highway,Car,Damaged,Night,2,Fatal,13.085529,80.223443
95,2024-05-26,07:10,Mumbai,Highway,Car,Dry,Day,3,Minor,19.076753,72.859594
96,2024-09-06,04:31,Delhi,Urban,Truck,Damaged,Night,3,Serious,28.680903,77.055127
97,2024-06-25,04:19,Mumbai,Urban,Bus,Wet,Night,4,Serious,19.102396,72.918065
98,2024-07-08,21:28,Bangalore,Rural,Bike,Dry,Night,3,Serious,13.006388,77.601884
99,2024-04-12,11:14,Bangalore,Highway,Truck,Damaged,Day,1,Serious,13.010434,77.621803
100,2024-09-29,01:11,Chennai,Highway,Car,Wet,Night,3,Fatal,13.11525,80.238605
101,2024-06-01,23:40,Mumbai,Urban,Bike,Damaged,Night,4,Serious,19.074322,72.844697
102,2024-02-05,18:45,Bangalore,Urban,Bike,Wet,Day,4,Serious,12.944824,77.547156
103,2024-07-10,23:48,Bangalore,Rural,Bike,Dry,Night,2,Serious,12.983825,77.643725
104,2024-12-26,15:21,Mumbai,Urban,Truck,Wet,Day,3,Minor,19.101087,72.899189
105,2024-05-09,00:19,Mumbai,Highway,Truck,Wet,Night,3,Fatal,19.062151,72.925932
106,2024-11-24,05:00,Mumbai,Urban,Truck,Wet,Night,2,Serious,19.093554,72.916256
107,2024-06-10,01:10,Delhi,Highway,Truck,Damaged,Night,3,Fatal,28.714713,77.093162
108,2024-12-18,03:34,Bangalore,Rural,Truck,Dry,Night,2,Minor,12.947456,77.599362
109,2024-07-24,22:44,Delhi,Urban,Car,Dry,Night,4,Minor,28.718704,77.088806
110,2024-01-14,15:42,Bangalore,Highway,Bike,Wet,Day,2,Fatal,12.95578,77.598032
111,2024-03-22,04:50,Delhi,Urban,Bus,Dry,Night,2,Minor,28.708662,77.057045
112,2024-08-08,14:38,Chennai,Highway,Bus,Wet,Day,4,Serious,13.049409,80.252632
113,2024-02-29,06:02,Mumbai,Rural,Car,Wet,Day,1,Minor,19.106926,72.841576
114,2024-03-20,17:24,Chennai,Highway,Bike,Wet,Day,1,Fatal,13.038751,80.23328
115,2024-08-31,06:49,Mumbai,Highway,Truck,Dry,Day,1,Minor,19.057046,72.885682
116,2024-02-12,14:26,Mumbai,Urban,Truck,Wet,Day,4,Minor,19.036419,72.890295
117,2024-08-30,14:00,Chennai,Urban,Bike,Damaged,Day,3,Minor,13.13192,80.235856
118,2024-02-06,07:10,Delhi,Rural,Truck,Damaged,Day,1,Minor,28.700241,77.089474
119,2024-03-14,17:45,Bangalore,Urban,Car,Damaged,Day,4,Minor,12.951335,77.600523
120,2024-07-24,03:43,Chennai,Urban,Bus,Dry,Night,2,Minor,13.085372,80.30737
121,2024-08-08,20:07,Bangalore,Urban,Car,Dry,Night,3,Minor,12.953004,77.57999
122,2024-05-07,19:28,Delhi,Urban,Truck,Wet,Night,3,Serious,28.72582,77.15176
123,2024-10-07,01:33,Mumbai,Highway,Bike,Wet,Night,4,Fatal,19.030624,72.849698
124,2024-08-25,16:28,Bangalore,Rural,Bus,Damaged,Day,3,Minor,13.002329,77.558631
125,2024-10-19,23:01,Mumbai,Highway,Bus,Damaged,Night,1,Fatal,19.062989,72.902319
126,2024-08-25,07:28,Chennai,Urban,Bus,Wet,Day,1,Minor,13.114096,80.287648
127,2024-09-06,15:29,Bangalore,Rural,Bus,Dry,Day,1,Minor,13.005184,77.591785
128,2024-08-29,20:52,Mumbai,Highway,Truck,Dry,Night,2,Serious,19.076442,72.854412
129,2024-08-13,01:44,Delhi,Rural,Car,Dry,Night,1,Minor,28.725408,77.123231
130,2024-05-05,08:53,Delhi,Urban,Bike,Dry,Day,3,Minor,28.734674,77.143483
131,2024-04-18,01:55,Delhi,Urban,Bike,Damaged,Night,1,Serious,28.660842,77.0843
132,2024-09-28,08:05,Mumbai,Rural,Bike,Wet,Day,4,Serious,19.026879,72.884795
133,2024-09-18,03:00,Bangalore,Highway,Truck,Wet,Night,3,Fatal,12.925035,77.63607
134,2024-08-16,07:43,Delhi,Rural,Car,Wet,Day,4,Minor,28.72432,77.06537
135,2024-01-10,14:41,Chennai,Highway,Bike,Wet,Day,4,Fatal,13.071129,80.23111
136,2024-02-14,17:56,Chennai,Highway,Bus,Damaged,Day,1,Serious,13.047785,80.248662
137,2024-11-17,14:39,Delhi,Highway,Bus,Wet,Day,1,Serious,28.695228,77.085641
138,2024-07-16,03:14,Bangalore,Urban,Car,Wet,Night,1,Serious,12.961512,77.595814
139,2024-03-11,12:49,Mumbai,Rural,Bike,Damaged,Day,2,Minor,19.106003,72.899193
140,2024-10-24,12:39,Delhi,Highway,Bus,Dry,Day,1,Minor,28.673847,77.107471
141,2024-01-17,16:49,Delhi,Rural,Bike,Wet,Day,3,Serious,28.735375,77.074641
142,2024-02-03,21:36,Delhi,Urban,Bus,Damaged,Night,4,Serious,28.688856,77.151
143,2024-01-28,04:03,Bangalore,Urban,Bike,Wet,Night,4,Fatal,12.937357,77.643707
144,2024-06-20,23:29,Mumbai,Rural,Bus,Damaged,Night,2,Serious,19.0655,72.849412
145,2024-02-19,16:53,Delhi,Highway,Truck,Wet,Day,2,Serious,28.684641,77.059405
146,2024-06-22,05:45,Bangalore,Highway,Car,Damaged,Night,2,Fatal,12.954858,77.596719
147,2024-05-03,18:14,Bangalore,Rural,Bike,Wet,Day,2,Serious,13.012018,77.611059
148,2024-12-12,15:52,Bangalore,Urban,Truck,Dry,Day,2,Minor,12.994897,77.580801
149,2024-10-16,07:43,Delhi,Rural,Truck,Wet,Day,4,Minor,28.752114,77.09337
150,2024-09-22,01:15,Delhi,Highway,Car,Damaged,Night,3,Fatal,28.752309,77.098847
151,2024-06-08,12:27,Bangalore,Rural,Bus,Dry,Day,3,Minor,12.940269,77.612671
152,2024-05-07,19:46,Chennai,Highway,Bus,Damaged,Night,3,Fatal,13.06318,80.253974
153,2024-11-16,03:33,Chennai,Urban,Bike,Dry,Night,1,Serious,13.038854,80.2231
154,2024-09-06,17:42,Chennai,Urban,Truck,Dry,Day,3,Minor,13.104714,80.261848
155,2024-10-20,01:42,Mumbai,Rural,Car,Damaged,Night,1,Serious,19.056217,72.84487
156,2024-12-15,13:14,Delhi,Highway,Truck,Dry,Day,2,Minor,28.691866,77.071605
157,2024-04-21,15:12,Bangalore,Urban,Truck,Wet,Day,3,Minor,12.947825,77.577131
158,2024-11-08,09:21,Mumbai,Urban,Bus,Dry,Day,3,Minor,19.115561,72.842185
159,2024-01-30,11:38,Mumbai,Urban,Bike,Wet,Day,3,Serious,19.113438,72.913429
160,2024-04-21,18:41,Delhi,Urban,Truck,Damaged,Day,2,Minor,28.734949,77.140977
161,2024-03-27,03:56,Chennai,Highway,Bus,Dry,Night,1,Serious,13.038732,80.269108
162,2024-07-18,12:13,Bangalore,Urban,Bus,Dry,Day,3,Minor,12.968452,77.636444
163,2024-12-23,23:52,Mumbai,Urban,Bike,Wet,Night,1,Fatal,19.125689,72.910325
164,2024-06-03,19:30,Chennai,Urban,Bike,Dry,Night,4,Serious,13.067841,80.314757
165,2024-06-24,22:29,Bangalore,Highway,Truck,Damaged,Night,2,Fatal,13.01755,77.55914
166,2024-06-05,02:35,Chennai,Highway,Truck,Wet,Night,4,Fatal,13.116305,80.23558
167,2024-09-19,00:44,Bangalore,Highway,Bus,Dry,Night,2,Serious,13.013834,77.562663
168,2024-12-27,18:17,Bangalore,Rural,Bike,Dry,Day,3,Minor,12.923963,77.567562
169,2024-05-23,10:53,Bangalore,Rural,Car,Damaged,Day,2,Minor,12.972665,77.596622
170,2024-03-22,14:58,Bangalore,Highway,Bike,Wet,Day,4,Fatal,12.946456,77.612815
171,2024-07-24,08:28,Chennai,Rural,Truck,Dry,Day,1,Minor,13.12836,80.276499
172,2024-01-17,08:34,Delhi,Highway,Truck,Dry,Day,4,Minor,28.696333,77.0837
173,2024-08-23,23:21,Delhi,Urban,Bus,Damaged,Night,4,Serious,28.667622,77.071048
174,2024-04-12,01:52,Delhi,Highway,Bike,Damaged,Night,1,Fatal,28.740676,77.114957
175,2024-05-03,00:04,Mumbai,Highway,Bus,Dry,Night,2,Serious,19.079041,72.877398
176,2024-05-24,11:25,Chennai,Highway,Car,Damaged,Day,1,Serious,13.114364,80.270632
177,2024-03-03,06:36,Chennai,Rural,Bike,Dry,Day,2,Minor,13.071794,80.261523
178,2024-07-24,06:29,Chennai,Highway,Bus,Wet,Day,4,Serious,13.093047,80.25819
179,2024-04-10,19:57,Mumbai,Rural,Car,Damaged,Night,1,Serious,19.104976,72.915983
180,2024-03-28,15:22,Bangalore,Highway,Bus,Damaged,Day,2,Serious,12.975068,77.604182
181,2024-12-30,07:43,Bangalore,Urban,Car,Damaged,Day,1,Minor,12.984804,77.556189
182,2024-03-20,19:57,Mumbai,Rural,Bike,Damaged,Night,1,Serious,19.059529,72.915804
183,2024-01-14,17:39,Mumbai,Rural,Bike,Dry,Day,2,Minor,19.100978,72.880481
184,2024-11-02,20:58,Bangalore,Rural,Car,Dry,Night,2,Minor,13.020659,77.571024
185,2024-10-16,08:47,Bangalore,Urban,Bike,Wet,Day,1,Serious,12.992713,77.644543
186,2024-11-08,05:25,Bangalore,Rural,Bike,Dry,Night,4,Serious,13.010182,77.559624
187,2024-12-30,17:47,Delhi,Urban,Bus,Dry,Day,4,Minor,28.694306,77.053581
188,2024-08-01,19:58,Delhi,Rural,Truck,Dry,Night,2,Minor,28.657722,77.116741
189,2024-06-05,18:20,Mumbai,Urban,Car,Damaged,Day,1,Minor,19.114491,72.835711
190,2024-01-12,03:06,Mumbai,Rural,Bus,Wet,Night,1,Serious,19.030851,72.920969
191,2024-11-20,14:08,Delhi,Urban,Bike,Dry,Day,2,Minor,28.690618,77.081895
192,2024-10-30,06:34,Mumbai,Rural,Bike,Damaged,Day,2,Minor,19.053525,72.830681
193,2024-12-15,06:02,Delhi,Urban,Truck,Dry,Day,2,Minor,28.698448,77.085381
194,2024-03-13,21:25,Chennai,Highway,Bike,Damaged,Night,3,Fatal,13.115421,80.301214
195,2024-02-01,04:30,Delhi,Highway,Bike,Damaged,Night,2,Fatal,28.671953,77.064686
196,2024-09-26,13:32,Bangalore,Urban,Car,Wet,Day,3,Minor,12.965588,77.633904
197,2024-11-19,23:50,Bangalore,Highway,Truck,Dry,Night,4,Serious,12.930239,77.545153
198,2024-09-23,00:59,Mumbai,Highway,Bus,Wet,Night,4,Fatal,19.06996,72.887767
199,2024-01-02,17:55,Bangalore,Rural,Car,Wet,Day,2,Minor,12.96404,77.580078
200,2024-07-11,19:15,Bangalore,Rural,Car,Dry,Night,3,Minor,12.948012,77.631237
201,2024-12-14,20:20,Mumbai,Rural,Bus,Wet,Night,4,Serious,19.106721,72.882376
202,2024-02-08,07:17,Delhi,Rural,Bus,Dry,Day,3,Minor,28.753308,77.067649
203,2024-01-01,20:56,Mumbai,Rural,Car,Dry,Night,4,Minor,19.050484,72.835892
204,2024-02-15,17:09,Chennai,Highway,Truck,Damaged,Day,4,Serious,13.123145,80.26588
205,2024-05-18,11:28,Mumbai,Highway,Car,Damaged,Day,3,Serious,19.12528,72.863264
206,2024-05-10,11:55,Chennai,Urban,Bike,Damaged,Day,2,Minor,13.091873,80.256017
207,2024-11-15,08:10,Bangalore,Rural,Car,Wet,Day,4,Minor,12.969439,77.570834
208,2024-07-27,12:09,Delhi,Urban,Truck,Wet,Day,2,Minor,28.669064,77.114802
209,2024-12-11,20:58,Bangalore,Urban,Truck,Damaged,Night,3,Serious,12.984283,77.568456
210,2024-10-21,17:14,Bangalore,Highway,Car,Damaged,Day,3,Serious,13.014484,77.593662
211,2024-03-09,03:37,Delhi,Urban,Bus,Wet,Night,4,Serious,28.667283,77.082496
212,2024-08-17,19:35,Chennai,Urban,Bike,Dry,Night,1,Serious,13.04005,80.293081
213,2024-04-09,15:46,Mumbai,Rural,Car,Wet,Day,2,Minor,19.097868,72.836852
214,2024-12-14,21:34,Delhi,Highway,Car,Wet,Night,4,Fatal,28.701215,77.093121
215,2024-01-17,15:59,Bangalore,Rural,Bus,Damaged,Day,4,Minor,12.99177,77.558019
216,2024-02-11,13:02,Mumbai,Highway,Bus,Wet,Day,3,Serious,19.063614,72.884728
217,2024-07-31,06:17,Bangalore,Rural,Bike,Damaged,Day,1,Minor,12.99619,77.635964
218,2024-01-05,06:17,Chennai,Urban,Bus,Damaged,Day,3,Minor,13.060129,80.312134
219,2024-08-04,01:28,Bangalore,Highway,Bus,Wet,Night,2,Fatal,12.973071,77.594269
220,2024-11-18,06:15,Bangalore,Rural,Truck,Damaged,Day,1,Minor,12.970538,77.59083
221,2024-07-20,20:03,Chennai,Highway,Car,Wet,Night,1,Fatal,13.05552,80.271299
222,2024-03-26,15:17,Delhi,Highway,Bike,Damaged,Day,2,Serious,28.71619,77.110479
223,2024-07-05,13:01,Delhi,Rural,Truck,Dry,Day,1,Minor,28.685296,77.058959
224,2024-12-06,12:42,Mumbai,Urban,Car,Dry,Day,1,Minor,19.110341,72.843057
225,2024-11-04,04:13,Chennai,Rural,Truck,Damaged,Night,1,Serious,13.120026,80.30612
226,2024-11-20,11:29,Bangalore,Urban,Bus,Wet,Day,1,Minor,12.974139,77.559683
227,2024-06-15,19:21,Delhi,Highway,Bus,Damaged,Night,1,Fatal,28.706115,77.126968
228,2024-12-24,10:06,Bangalore,Urban,Bus,Damaged,Day,3,Minor,12.952329,77.591486
229,2024-09-07,15:41,Chennai,Urban,Bike,Damaged,Day,3,Minor,13.099715,80.284435
230,2024-10-23,20:20,Mumbai,Highway,Truck,Dry,Night,2,Serious,19.11081,72.917274
231,2024-09-06,22:14,Bangalore,Highway,Car,Wet,Night,3,Fatal,12.948897,77.571905
232,2024-02-07,02:34,Chennai,Rural,Bus,Damaged,Night,1,Serious,13.121892,80.271716
233,2024-05-31,17:54,Chennai,Urban,Truck,Wet,Day,4,Minor,13.120327,80.242746
234,2024-01-15,10:41,Bangalore,Rural,Bus,Damaged,Day,1,Minor,12.939091,77.544955
235,2024-03-31,05:52,Chennai,Rural,Bus,Dry,Night,1,Minor,13.104708,80.256884
236,2024-11-22,17:31,Chennai,Urban,Car,Dry,Day,2,Minor,13.063047,80.319926
237,2024-12-29,22:25,Delhi,Rural,Bike,Dry,Night,4,Serious,28.73547,77.124177
238,2024-10-21,18:48,Delhi,Rural,Bus,Damaged,Day,2,Minor,28.733124,77.097073
239,2024-11-22,23:18,Mumbai,Highway,Truck,Wet,Night,3,Fatal,19.09098,72.84532
240,2024-11-25,22:34,Delhi,Highway,Car,Wet,Night,2,Fatal,28.735488,77.098115
241,2024-01-22,04:16,Mumbai,Rural,Bus,Dry,Night,3,Minor,19.115146,72.879955
242,2024-02-04,05:45,Bangalore,Urban,Bike,Wet,Night,2,Fatal,12.968339,77.601381
243,2024-01-15,01:11,Mumbai,Urban,Bike,Dry,Night,1,Serious,19.085457,72.910875
244,2024-12-28,04:46,Mumbai,Highway,Bike,Dry,Night,1,Fatal,19.081003,72.864568
245,2024-05-06,08:47,Bangalore,Urban,Truck,Wet,Day,1,Minor,12.946994,77.595631
246,2024-11-21,20:42,Bangalore,Urban,Bus,Dry,Night,2,Minor,12.992698,77.588559
247,2024-03-15,12:21,Bangalore,Highway,Bus,Damaged,Day,1,Serious,12.931641,77.564145
248,2024-06-05,17:03,Bangalore,Highway,Bus,Wet,Day,1,Serious,12.944095,77.609739
249,2024-07-27,22:47,Mumbai,Highway,Bus,Damaged,Night,2,Fatal,19.060383,72.853767
250,2024-03-10,17:23,Mumbai,Rural,Truck,Dry,Day,1,Minor,19.089375,72.840264
251,2024-09-07,19:25,Mumbai,Rural,Bike,Wet,Night,2,Fatal,19.044194,72.855704
252,2024-12-28,06:24,Chennai,Rural,Truck,Dry,Day,4,Minor,13.080568,80.263579
253,2024-08-28,12:28,Chennai,Urban,Car,Damaged,Day,2,Minor,13.113399,80.26018
254,2024-04-11,14:58,Chennai,Highway,Bus,Wet,Day,2,Serious,13.034186,80.222398
255,2024-12-19,08:51,Chennai,Urban,Bus,Wet,Day,2,Minor,13.034078,80.250737
256,2024-07-17,15:47,Mumbai,Highway,Truck,Wet,Day,3,Serious,19.04134,72.848609
257,2024-07-13,16:48,Chennai,Rural,Car,Dry,Day,3,Minor,13.127706,80.238909
258,2024-09-28,20:04,Mumbai,Highway,Bike,Dry,Night,1,Fatal,19.10096,72.884391
259,2024-12-03,12:23,Bangalore,Highway,Bus,Wet,Day,1,Serious,13.003812,77.551454
260,2024-02-25,13:19,Delhi,Rural,Bike,Dry,Day,1,Minor,28.707494,77.135812
261,2024-09-02,10:21,Mumbai,Rural,Car,Dry,Day,1,Minor,19.058024,72.884571
262,2024-09-07,21:14,Bangalore,Urban,Car,Damaged,Night,2,Serious,13.002642,77.620392
263,2024-08-23,16:44,Bangalore,Highway,Bike,Dry,Day,4,Serious,12.978202,77.55149
264,2024-12-25,09:57,Delhi,Highway,Car,Damaged,Day,3,Serious,28.691533,77.126153
265,2024-08-13,02:07,Delhi,Highway,Bike,Damaged,Night,1,Fatal,28.661782,77.113314
266,2024-03-25,03:43,Delhi,Highway,Bus,Wet,Night,3,Fatal,28.68717,77.12527
267,2024-01-20,20:56,Delhi,Highway,Bike,Dry,Night,4,Fatal,28.726056,77.119999
268,2024-11-07,10:55,Mumbai,Urban,Bus,Wet,Day,4,Minor,19.076117,72.901056
269,2024-10-20,18:13,Bangalore,Rural,Car,Damaged,Day,3,Minor,12.956126,77.596487
270,2024-06-21,06:55,Chennai,Urban,Truck,Dry,Day,2,Minor,13.10053,80.220921
271,2024-05-10,18:14,Mumbai,Urban,Bike,Dry,Day,1,Minor,19.078223,72.902899
272,2024-07-26,10:08,Bangalore,Highway,Car,Dry,Day,4,Minor,12.955412,77.606003
273,2024-09-25,21:16,Delhi,Highway,Bike,Dry,Night,2,Fatal,28.752853,77.082478
274,2024-04-10,21:43,Delhi,Highway,Truck,Damaged,Night,3,Fatal,28.657632,77.116202
275,2024-03-15,04:10,Bangalore,Rural,Bike,Wet,Night,1,Fatal,12.956385,77.623615
276,2024-01-06,23:58,Bangalore,Rural,Truck,Dry,Night,4,Minor,12.941565,77.566055
277,2024-10-19,00:04,Bangalore,Rural,Bus,Damaged,Night,4,Serious,12.99607,77.584502
